monster1,monster2,monster1_win_pct,monster2_win_pct
Gold Dragon Wyrmling,Ogre Zombie,57.8%,42.2%
Ice Devil,Stone Giant,57.8%,42.2%
Ice Mephit,Noble,57.8%,42.2%
Marilith,Young Blue Dragon,57.8%,42.2%
Orc,Thug,57.8%,42.2%
Axe Beak,Flying Sword,42.2%,57.8%
Constrictor Snake,Riding Horse,42.2%,57.8%
Giant Wasp,Riding Horse,42.2%,57.8%
Hippogriff,Satyr,42.2%,57.8%
Magma Mephit,Wolf,42.2%,57.8%
Manticore,Veteran,42.2%,57.8%
Minotaur Skeleton,Vrock,42.2%,57.8%
Panther,Riding Horse,42.2%,57.8%
Draft Horse,Ghoul,57.9%,42.1%
Duergar,Warhorse Skeleton,42.1%,57.9%
Giant Crocodile,Young Copper Dragon,42.1%,57.9%
Guard,Riding Horse,42.1%,57.9%
Balor,Remorhaz,58.0%,42.0%
Barbed Devil,Winter Wolf,58.0%,42.0%
Bone Devil,Shield Guardian,58.0%,42.0%
Centaur,Polar Bear,58.0%,42.0%
Constrictor Snake,Giant Crab,58.0%,42.0%
Constrictor Snake,Gray Ooze,58.0%,42.0%
Constrictor Snake,Zombie,58.0%,42.0%
Druid,Guard,58.0%,42.0%
Dust Mephit,Skeleton,58.0%,42.0%
Ghost,"Wereboar, Boar Form",58.0%,42.0%
Ghost,"Wereboar, Hybrid Form",58.0%,42.0%
Giant Wasp,Gray Ooze,58.0%,42.0%
Giant Wasp,Zombie,58.0%,42.0%
Hippogriff,Orc,58.0%,42.0%
Panther,Zombie,58.0%,42.0%
Ape,Brass Dragon Wyrmling,42.0%,58.0%
Bearded Devil,Giant Boar,42.0%,58.0%
Black Pudding,Centaur,42.0%,58.0%
Deva,Killer Whale,42.0%,58.0%
Efreeti,Frost Giant,42.0%,58.0%
Giant Badger,Noble,42.0%,58.0%
Ankheg,Merrow,58.1%,41.9%
Djinni,Young Green Dragon,58.1%,41.9%
Giant Bat,Lizardfolk,58.1%,41.9%
Giant Crab,Guard,58.1%,41.9%
Chimera,Xorn,41.9%,58.1%
Copper Dragon Wyrmling,Worg,41.9%,58.1%
Dretch,Noble,41.9%,58.1%
Giant Octopus,Succubus/Incubus,41.9%,58.1%
Giant Sea Horse,Riding Horse,41.9%,58.1%
"Werebear, Human Form",Wraith,41.9%,58.1%
Ancient Black Dragon,Dragon Turtle,58.2%,41.8%
Bandit,Tribal Warrior,58.2%,41.8%
Blink Dog,Scout,58.2%,41.8%
Giant Hyena,Hell Hound,58.2%,41.8%
Deer,Hyena,41.8%,58.2%
Dust Mephit,Scout,41.8%,58.2%
Ice Mephit,Skeleton,41.8%,58.2%
Rust Monster,Swarm of Beetles,41.8%,58.2%
Rust Monster,Swarm of Centipedes,41.8%,58.2%
Rust Monster,Swarm of Insects,41.8%,58.2%
Rust Monster,Swarm of Spiders,41.8%,58.2%
Rust Monster,Swarm of Wasps,41.8%,58.2%
Cloaker,Gold Dragon Wyrmling,58.3%,41.7%
Druid,Giant Sea Horse,58.3%,41.7%
Erinyes,Shambling Mound,58.3%,41.7%
Giant Badger,Tribal Warrior,58.3%,41.7%
Giant Bat,Gnoll,58.3%,41.7%
Giant Sea Horse,Gray Ooze,58.3%,41.7%
Giant Sea Horse,Zombie,58.3%,41.7%
Gynosphinx,Young Black Dragon,58.3%,41.7%
Hippogriff,Rust Monster,58.3%,41.7%
Lamia,Vrock,58.3%,41.7%
Noble,Pony,58.3%,41.7%
Adult Copper Dragon,Androsphinx,41.7%,58.3%
Ghoul,Lion,41.7%,58.3%
Giant Goat,"Wererat, Human Form",41.7%,58.3%
Hobgoblin,Lizardfolk,41.7%,58.3%
Acolyte,Kobold,41.6%,58.4%
Ancient Black Dragon,Ancient Green Dragon,58.4%,41.6%
Azer,Giant Hyena,41.6%,58.4%
Basilisk,Sea Hag,41.6%,58.4%
Djinni,Giant Shark,41.6%,58.4%
Earth Elemental,Hezrou,58.4%,41.6%
Giant Frog,Gray Ooze,58.4%,41.6%
Giant Frog,Zombie,58.4%,41.6%
Giant Goat,"Wererat, Hybrid Form",58.4%,41.6%
Giant Goat,"Wererat, Rat Form",58.4%,41.6%
Giant Wolf Spider,Imp,41.6%,58.4%
Gnoll,Spy,41.6%,58.4%
Guardian Naga,"Vampire, Vampire Form",41.6%,58.4%
Knight,Troll,41.6%,58.4%
Kobold,Merfolk,41.6%,58.4%
Blue Dragon Wyrmling,Vampire Spawn,41.5%,58.5%
Bronze Dragon Wyrmling,Swarm of Quippers,58.5%,41.5%
Chuul,"Werebear, Human Form",58.5%,41.5%
Clay Golem,Gynosphinx,41.5%,58.5%
Clay Golem,Young Copper Dragon,58.5%,41.5%
Cult Fanatic,Giant Vulture,41.5%,58.5%
Deep Gnome (Svirfneblin),Gnoll,58.5%,41.5%
Doppelganger,Giant Elk,41.5%,58.5%
Fire Elemental,Flesh Golem,58.5%,41.5%
Hill Giant,Young Copper Dragon,41.5%,58.5%
Hobgoblin,Swarm of Rats,58.5%,41.5%
Nalfeshnee,Roc,41.5%,58.5%
Oni,Salamander,58.5%,41.5%
Swarm of Ravens,Warhorse,41.5%,58.5%
Swarm of Ravens,Thug,58.6%,41.4%
Medusa,Owlbear,41.4%,58.6%
Vampire Spawn,"Weretiger, Human Form",41.4%,58.6%
Water Elemental,"Werebear, Bear Form",41.4%,58.6%
Water Elemental,"Werebear, Hybrid Form",41.4%,58.6%
Ankheg,Mimic,58.7%,41.3%
Ape,Giant Bat,58.7%,41.3%
Ape,Lizardfolk,58.7%,41.3%
Giant Centipede,Kobold,58.7%,41.3%
Giant Hyena,Polar Bear,58.7%,41.3%
Giant Sea Horse,Giant Wasp,58.7%,41.3%
Giant Sea Horse,Panther,58.7%,41.3%
Bearded Devil,Bronze Dragon Wyrmling,41.3%,58.7%
Bearded Devil,Dire Wolf,41.3%,58.7%
Brass Dragon Wyrmling,Death Dog,41.3%,58.7%
Giant Elk,Veteran,41.3%,58.7%
Lion,Phase Spider,41.3%,58.7%
Shadow,"Wererat, Human Form",41.3%,58.7%
Ankheg,Giant Hyena,58.8%,41.2%
Assassin,Rhinoceros,58.8%,41.2%
Blood Hawk,Pseudodragon,58.8%,41.2%
Brown Bear,Worg,58.8%,41.2%
Bugbear,Ghast,58.8%,41.2%
Bulette,Young Bronze Dragon,58.8%,41.2%
Crocodile,Reef Shark,58.8%,41.2%
Darkmantle,Shadow,58.8%,41.2%
Deva,Xorn,58.8%,41.2%
Giant Crab,Giant Frog,58.8%,41.2%
Giant Owl,Lizardfolk,58.8%,41.2%
Giant Rat,Pseudodragon,58.8%,41.2%
Giant Rat (Diseased),Pseudodragon,58.8%,41.2%
Priest,Wolf,58.8%,41.2%
Androsphinx,Cloud Giant,41.2%,58.8%
Black Dragon Wyrmling,Dire Wolf,41.2%,58.8%
Duergar,Worg,41.2%,58.8%
Elephant,Guardian Naga,41.2%,58.8%
Gnoll,Hippogriff,41.2%,58.8%
Goblin,Panther,41.2%,58.8%
Androsphinx,Behir,58.9%,41.1%
Axe Beak,Hobgoblin,58.9%,41.1%
Black Bear,Riding Horse,58.9%,41.1%
Couatl,Xorn,58.9%,41.1%
Dire Wolf,Green Dragon Wyrmling,58.9%,41.1%
Dryad,Quasit,58.9%,41.1%
Grimlock,Imp,58.9%,41.1%
Hobgoblin,Scout,58.9%,41.1%
Pegasus,Veteran,58.9%,41.1%
Water Elemental,Xorn,58.9%,41.1%
Cult Fanatic,Gnoll,41.1%,58.9%
Frost Giant,Tyrannosaurus Rex,41.1%,58.9%
Gelatinous Cube,Giant Constrictor Snake,41.1%,58.9%
Giant Lizard,Orc,41.1%,58.9%
Giant Vulture,Swarm of Ravens,41.1%,58.9%
Warhorse,Wight,41.1%,58.9%
Crocodile,Giant Goat,59.0%,41.0%
Deep Gnome (Svirfneblin),Draft Horse,41.0%,59.0%
Drider,Silver Dragon Wyrmling,41.0%,59.0%
Giant Eagle,Harpy,59.0%,41.0%
Giant Weasel,Noble,59.0%,41.0%
Hippogriff,Lion,41.0%,59.0%
Vrock,Wraith,41.0%,59.0%
White Dragon Wyrmling,Will-o'-Wisp,41.0%,59.0%
Chain Devil,Rakshasa,59.1%,40.9%
Copper Dragon Wyrmling,Warhorse,59.1%,40.9%
Gargoyle,Swarm of Poisonous Snakes,59.1%,40.9%
Magmin,Skeleton,59.1%,40.9%
Medusa,Pegasus,59.1%,40.9%
Bandit,Grimlock,40.9%,59.1%
Deep Gnome (Svirfneblin),Thug,40.9%,59.1%
Giant Weasel,Sahuagin,40.9%,59.1%
Guard,Priest,40.9%,59.1%
Half-Red Dragon Veteran,Winter Wolf,40.9%,59.1%
Hezrou,Young Black Dragon,40.9%,59.1%
Knight,"Weretiger, Hybrid Form",40.9%,59.1%
Knight,"Weretiger, Tiger Form",40.9%,59.1%
Constrictor Snake,Giant Frog,59.2%,40.8%
Crocodile,Giant Owl,59.2%,40.8%
Flying Sword,Giant Owl,59.2%,40.8%
Ghoul,Thug,59.2%,40.8%
Lamia,"Werebear, Human Form",59.2%,40.8%
Swarm of Quippers,Will-o'-Wisp,59.2%,40.8%
Warhorse Skeleton,"Werewolf, Human Form",59.2%,40.8%
Chain Devil,Xorn,40.8%,59.2%
Ghoul,Mage,40.8%,59.2%
Dust Mephit,Elk,59.3%,40.7%
Ankheg,Mummy,40.7%,59.3%
Brass Dragon Wyrmling,Copper Dragon Wyrmling,40.7%,59.3%
Constrictor Snake,Scout,40.7%,59.3%
Dretch,Pony,40.7%,59.3%
Giant Badger,Imp,40.7%,59.3%
Giant Wasp,Scout,40.7%,59.3%
Hippogriff,Warhorse,40.7%,59.3%
Hunter Shark,"Wereboar, Boar Form",40.7%,59.3%
Hunter Shark,"Wereboar, Hybrid Form",40.7%,59.3%
Minotaur Skeleton,Salamander,40.7%,59.3%
Panther,Scout,40.7%,59.3%
Bugbear,Centaur,40.6%,59.4%
Constrictor Snake,Giant Poisonous Snake,40.6%,59.4%
Druid,Giant Wasp,59.4%,40.6%
Druid,Panther,59.4%,40.6%
Giant Eagle,Giant Spider,40.6%,59.4%
Giant Goat,Spy,59.4%,40.6%
Giant Owl,Shadow,59.4%,40.6%
Gibbering Mouther,Ogre,59.4%,40.6%
Grick,Swarm of Poisonous Snakes,40.6%,59.4%
Manticore,"Wereboar, Human Form",40.6%,59.4%
Black Dragon Wyrmling,Gargoyle,59.5%,40.5%
Chain Devil,Wyvern,59.5%,40.5%
Death Dog,Lion,59.5%,40.5%
Drider,Saber-Toothed Tiger,59.5%,40.5%
Giant Constrictor Snake,Silver Dragon Wyrmling,59.5%,40.5%
Giant Frog,Riding Horse,40.5%,59.5%
Giant Goat,Swarm of Beetles,40.5%,59.5%
Giant Goat,Swarm of Centipedes,40.5%,59.5%
Giant Goat,Swarm of Insects,40.5%,59.5%
Giant Goat,Swarm of Spiders,40.5%,59.5%
Giant Goat,Swarm of Wasps,40.5%,59.5%
Giant Lizard,"Wererat, Hybrid Form",40.5%,59.5%
Giant Lizard,"Wererat, Rat Form",40.5%,59.5%
Gnoll,Rust Monster,40.5%,59.5%
Gorgon,Mammoth,40.5%,59.5%
Quasit,Steam Mephit,59.5%,40.5%
Shadow,Warhorse,40.5%,59.5%
Silver Dragon Wyrmling,"Wereboar, Human Form",59.5%,40.5%
Air Elemental,Deva,59.6%,40.4%
Boar,Giant Weasel,40.4%,59.6%
Centaur,Mummy,40.4%,59.6%
Chimera,Wraith,59.6%,40.4%
Commoner,Stirge,40.4%,59.6%
Copper Dragon Wyrmling,Specter,59.6%,40.4%
Giant Poisonous Snake,Scout,59.6%,40.4%
Giant Poisonous Snake,Shadow,40.4%,59.6%
Giant Toad,Phase Spider,59.6%,40.4%
Giant Vulture,Rust Monster,40.4%,59.6%
Gibbering Mouther,Spirit Naga,40.4%,59.6%
Gynosphinx,Triceratops,59.6%,40.4%
Hill Giant,Shambling Mound,59.6%,40.4%
Satyr,Swarm of Beetles,59.6%,40.4%
Satyr,Swarm of Centipedes,59.6%,40.4%
Satyr,Swarm of Insects,59.6%,40.4%
Satyr,Swarm of Spiders,59.6%,40.4%
Satyr,Swarm of Wasps,59.6%,40.4%
Awakened Tree,Gold Dragon Wyrmling,59.7%,40.3%
Bandit,Violet Fungus,59.7%,40.3%
Barbed Devil,Gold Dragon Wyrmling,59.7%,40.3%
Black Bear,Cult Fanatic,40.3%,59.7%
Black Dragon Wyrmling,Hell Hound,40.3%,59.7%
Black Dragon Wyrmling,"Werewolf, Hybrid Form",59.7%,40.3%
Black Dragon Wyrmling,"Werewolf, Wolf Form",59.7%,40.3%
Brass Dragon Wyrmling,Swarm of Ravens,59.7%,40.3%
Crocodile,Darkmantle,59.7%,40.3%
Crocodile,"Wererat, Human Form",40.3%,59.7%
Giant Elk,Gibbering Mouther,40.3%,59.7%
Giant Vulture,Gnoll,59.7%,40.3%
Magmin,Sahuagin,59.7%,40.3%
Minotaur Skeleton,Red Dragon Wyrmling,59.7%,40.3%
Phase Spider,"Werewolf, Human Form",40.3%,59.7%
Polar Bear,Succubus/Incubus,40.3%,59.7%
Tribal Warrior,Violet Fungus,59.7%,40.3%
Awakened Shrub,Goat,59.8%,40.2%
Black Pudding,Will-o'-Wisp,59.8%,40.2%
Blue Dragon Wyrmling,Owlbear,40.2%,59.8%
Cult Fanatic,Deep Gnome (Svirfneblin),40.2%,59.8%
Darkmantle,Flying Sword,59.8%,40.2%
Drow,Giant Lizard,40.2%,59.8%
Giant Constrictor Snake,"Weretiger, Human Form",40.2%,59.8%
Giant Eagle,Swarm of Beetles,59.8%,40.2%
Giant Eagle,Swarm of Centipedes,59.8%,40.2%
Giant Eagle,Swarm of Insects,59.8%,40.2%
Giant Eagle,Swarm of Spiders,59.8%,40.2%
Giant Eagle,Swarm of Wasps,59.8%,40.2%
Giant Goat,Orc,59.8%,40.2%
Goblin,Magma Mephit,40.2%,59.8%
Hippogriff,Specter,40.2%,59.8%
Hobgoblin,Reef Shark,40.2%,59.8%
Warhorse Skeleton,Worg,59.8%,40.2%
Basilisk,Manticore,40.1%,59.9%
Chuul,Salamander,59.9%,40.1%
Dire Wolf,Giant Scorpion,59.9%,40.1%
Ettercap,Wight,59.9%,40.1%
Fire Elemental,Plesiosaurus,59.9%,40.1%
Giant Hyena,Mimic,59.9%,40.1%
Gnoll,"Wererat, Hybrid Form",40.1%,59.9%
Gnoll,"Wererat, Rat Form",40.1%,59.9%
Medusa,"Weretiger, Human Form",40.1%,59.9%
Nightmare,Red Dragon Wyrmling,40.1%,59.9%
Wraith,Xorn,40.1%,59.9%
Young Copper Dragon,Young White Dragon,40.1%,59.9%
Adult Silver Dragon,Nalfeshnee,60.0%,40.0%
Basilisk,Hunter Shark,40.0%,60.0%
Black Pudding,Bugbear,60.0%,40.0%
Chuul,Otyugh,40.0%,60.0%
Crocodile,Shadow,60.0%,40.0%
Cult Fanatic,Giant Owl,40.0%,60.0%
Darkmantle,Deep Gnome (Svirfneblin),60.0%,40.0%
Giant Bat,Rust Monster,40.0%,60.0%
Giant Boar,Swarm of Quippers,60.0%,40.0%
Giant Hyena,Green Dragon Wyrmling,60.0%,40.0%
Goat,Mastiff,40.0%,60.0%
Guard,Ice Mephit,60.0%,40.0%
Lizardfolk,Rust Monster,40.0%,60.0%
Noble,Riding Horse,40.0%,60.0%
Warhorse,Worg,40.0%,60.0%
Azer,"Werewolf, Hybrid Form",60.1%,39.9%
Azer,"Werewolf, Wolf Form",60.1%,39.9%
Bearded Devil,Black Pudding,39.9%,60.1%
Chuul,Green Hag,39.9%,60.1%
Copper Dragon Wyrmling,Ochre Jelly,39.9%,60.1%
Cultist,Mule,60.1%,39.9%
Deep Gnome (Svirfneblin),Giant Owl,60.1%,39.9%
Ettercap,Ochre Jelly,60.1%,39.9%
Ettin,Wraith,39.9%,60.1%
Flesh Golem,Invisible Stalker,39.9%,60.1%
Gargoyle,White Dragon Wyrmling,60.1%,39.9%
Ghost,Knight,39.9%,60.1%
Hippogriff,Mage,39.9%,60.1%
Lion,Warhorse,60.1%,39.9%
Swarm of Beetles,Swarm of Centipedes,60.1%,39.9%
Swarm of Beetles,Swarm of Insects,60.1%,39.9%
Swarm of Beetles,Swarm of Spiders,60.1%,39.9%
Swarm of Beetles,Swarm of Wasps,60.1%,39.9%
Swarm of Centipedes,Swarm of Insects,60.1%,39.9%
Swarm of Centipedes,Swarm of Spiders,60.1%,39.9%
Swarm of Centipedes,Swarm of Wasps,60.1%,39.9%
Swarm of Insects,Swarm of Spiders,60.1%,39.9%
Swarm of Insects,Swarm of Wasps,60.1%,39.9%
Swarm of Spiders,Swarm of Wasps,60.1%,39.9%
Black Dragon Wyrmling,Bronze Dragon Wyrmling,39.8%,60.2%
Blood Hawk,Steam Mephit,39.8%,60.2%
Cloaker,Ogre Zombie,60.2%,39.8%
Constrictor Snake,Drow,39.8%,60.2%
Duergar,Specter,60.2%,39.8%
Giant Hyena,Mummy,39.8%,60.2%
Giant Rat,Steam Mephit,39.8%,60.2%
Giant Rat (Diseased),Steam Mephit,39.8%,60.2%
Giant Weasel,Imp,60.2%,39.8%
Giant Wolf Spider,Tribal Warrior,60.2%,39.8%
Green Dragon Wyrmling,Polar Bear,39.8%,60.2%
Guardian Naga,Killer Whale,60.2%,39.8%
Swarm of Beetles,Warhorse,60.2%,39.8%
Swarm of Centipedes,Warhorse,60.2%,39.8%
Swarm of Insects,Warhorse,60.2%,39.8%
Swarm of Spiders,Warhorse,60.2%,39.8%
Swarm of Wasps,Warhorse,60.2%,39.8%
Ancient Brass Dragon,Solar,39.7%,60.3%
Ankheg,Dire Wolf,60.3%,39.7%
Black Bear,Swarm of Bats,39.7%,60.3%
Cult Fanatic,Shadow,39.7%,60.3%
Djinni,Roper,39.7%,60.3%
Flying Sword,Gnoll,60.3%,39.7%
Giant Elk,Pegasus,39.7%,60.3%
Giant Fire Beetle,Stirge,39.7%,60.3%
Giant Octopus,Saber-Toothed Tiger,39.7%,60.3%
Giant Shark,Stone Giant,39.7%,60.3%
Giant Vulture,Lizardfolk,60.3%,39.7%
Ochre Jelly,Wight,60.3%,39.7%
Animated Armor,Worg,60.4%,39.6%
Awakened Tree,Plesiosaurus,39.6%,60.4%
Bandit,Dryad,60.4%,39.6%
Black Dragon Wyrmling,Giant Hyena,39.6%,60.4%
Brown Bear,Grick,60.4%,39.6%
Deer,Giant Fire Beetle,60.4%,39.6%
Giant Crab,Riding Horse,39.6%,60.4%
Giant Spider,Wight,39.6%,60.4%
Hunter Shark,Ogre,39.6%,60.4%
Magma Mephit,Pony,60.4%,39.6%
Salamander,Vrock,60.4%,39.6%
Awakened Tree,Winter Wolf,60.5%,39.5%
Bearded Devil,Hell Hound,39.5%,60.5%
Black Dragon Wyrmling,Mimic,39.5%,60.5%
Chuul,Lamia,60.5%,39.5%
Cult Fanatic,Giant Bat,39.5%,60.5%
Cult Fanatic,Lizardfolk,39.5%,60.5%
Dire Wolf,Giant Boar,60.5%,39.5%
Erinyes,Night Hag,60.5%,39.5%
Ettercap,Warhorse Skeleton,60.5%,39.5%
Ghoul,Satyr,39.5%,60.5%
Ghoul,Specter,39.5%,60.5%
Giant Ape,Ice Devil,60.5%,39.5%
Giant Poisonous Snake,Giant Vulture,39.5%,60.5%
Mummy Lord,Shield Guardian,60.5%,39.5%
Rakshasa,"Werebear, Human Form",60.5%,39.5%
Adult Copper Dragon,Stone Golem,60.6%,39.4%
Air Elemental,"Werebear, Bear Form",39.4%,60.6%
Air Elemental,"Werebear, Hybrid Form",39.4%,60.6%
Animated Armor,Ettercap,60.6%,39.4%
Ape,Giant Vulture,60.6%,39.4%
Bandit Captain,Hunter Shark,39.4%,60.6%
Dust Mephit,Hobgoblin,39.4%,60.6%
Ghost,Giant Constrictor Snake,60.6%,39.4%
Giant Poisonous Snake,Gnoll,39.4%,60.6%
Giant Wolf Spider,Guard,39.4%,60.6%
Minotaur,Oni,60.6%,39.4%
Rat,Scorpion,60.6%,39.4%
Ape,Thug,39.3%,60.7%
Darkmantle,Reef Shark,60.7%,39.3%
Dretch,Imp,39.3%,60.7%
Earth Elemental,Young Green Dragon,39.3%,60.7%
Goblin,Gray Ooze,39.3%,60.7%
Goblin,Zombie,39.3%,60.7%
Sea Hag,Silver Dragon Wyrmling,39.3%,60.7%
Adult Brass Dragon,Young Gold Dragon,60.8%,39.2%
Adult Brass Dragon,Young Red Dragon,60.8%,39.2%
Ancient White Dragon,Solar,60.8%,39.2%
Boar,Noble,39.2%,60.8%
Cultist,Dretch,39.2%,60.8%
Cultist,Giant Wolf Spider,39.2%,60.8%
Death Dog,Satyr,60.8%,39.2%
Drider,"Wereboar, Boar Form",39.2%,60.8%
Drider,"Wereboar, Hybrid Form",39.2%,60.8%
Giant Badger,Pony,39.2%,60.8%
Giant Constrictor Snake,Veteran,60.8%,39.2%
Giant Elk,Silver Dragon Wyrmling,39.2%,60.8%
Guardian Naga,Night Hag,39.2%,60.8%
Ice Mephit,Wolf,39.2%,60.8%
Invisible Stalker,Lamia,39.2%,60.8%
Magma Mephit,Noble,60.8%,39.2%
Ochre Jelly,"Werewolf, Human Form",60.8%,39.2%
Ogre,Vampire Spawn,60.8%,39.2%
Stone Golem,Tyrannosaurus Rex,60.8%,39.2%
Bearded Devil,Gargoyle,60.9%,39.1%
Black Dragon Wyrmling,Swarm of Poisonous Snakes,60.9%,39.1%
Blink Dog,Giant Lizard,39.1%,60.9%
Bone Devil,Young Copper Dragon,39.1%,60.9%
Brass Dragon Wyrmling,Thug,60.9%,39.1%
Centaur,Giant Hyena,60.9%,39.1%
Centaur,Griffon,39.1%,60.9%
Chimera,Couatl,39.1%,60.9%
Giant Constrictor Snake,Half-Red Dragon Veteran,39.1%,60.9%
Barbed Devil,Troll,61.0%,39.0%
Constrictor Snake,Guard,61.0%,39.0%
Dretch,Tribal Warrior,61.0%,39.0%
Drow,Giant Owl,39.0%,61.0%
Gelatinous Cube,Giant Elk,61.0%,39.0%
Giant Crab,Gray Ooze,61.0%,39.0%
Giant Crab,Zombie,61.0%,39.0%
Giant Lizard,Swarm of Rats,61.0%,39.0%
Giant Wasp,Guard,61.0%,39.0%
Ogre,Silver Dragon Wyrmling,61.0%,39.0%
Ogre Zombie,Troll,61.0%,39.0%
Animated Armor,Will-o'-Wisp,38.9%,61.1%
Ape,Swarm of Ravens,38.9%,61.1%
Badger,Poisonous Snake,61.1%,38.9%
Brass Dragon Wyrmling,Rust Monster,61.1%,38.9%
Drow,Priest,61.1%,38.9%
Druid,Priest,38.9%,61.1%
Giant Constrictor Snake,Spirit Naga,38.9%,61.1%
Giant Crab,Imp,61.1%,38.9%
Giant Frog,Magma Mephit,61.1%,38.9%
Giant Lizard,Rust Monster,38.9%,61.1%
Giant Owl,Hobgoblin,61.1%,38.9%
Adult Copper Dragon,Tyrannosaurus Rex,61.2%,38.8%
Adult White Dragon,Behir,61.2%,38.8%
Ankheg,Bronze Dragon Wyrmling,61.2%,38.8%
Ape,Gnoll,61.2%,38.8%
Bugbear,Polar Bear,38.8%,61.2%
Camel,Merfolk,61.2%,38.8%
Crocodile,Gnoll,61.2%,38.8%
Giant Crab,Priest,38.8%,61.2%
Giant Sea Horse,Imp,61.2%,38.8%
Hell Hound,Swarm of Quippers,61.2%,38.8%
Pegasus,"Wereboar, Human Form",61.2%,38.8%
Swarm of Poisonous Snakes,Swarm of Quippers,38.8%,61.2%
Air Elemental,Xorn,61.3%,38.7%
Bandit,Quasit,61.3%,38.7%
Centaur,Merrow,61.3%,38.7%
Cockatrice,Skeleton,61.3%,38.7%
Constrictor Snake,Hobgoblin,38.7%,61.3%
Cultist,Pseudodragon,61.3%,38.7%
Darkmantle,Giant Owl,61.3%,38.7%
Death Dog,Phase Spider,38.7%,61.3%
Flying Sword,Swarm of Beetles,38.7%,61.3%
Flying Sword,Swarm of Centipedes,38.7%,61.3%
Flying Sword,Swarm of Insects,38.7%,61.3%
Flying Sword,Swarm of Spiders,38.7%,61.3%
Flying Sword,Swarm of Wasps,38.7%,61.3%
Giant Ape,Stone Giant,61.3%,38.7%
Giant Wasp,Hobgoblin,38.7%,61.3%
Gray Ooze,Ice Mephit,61.3%,38.7%
Green Hag,Killer Whale,38.7%,61.3%
Half-Red Dragon Veteran,"Weretiger, Human Form",61.3%,38.7%
Lion,Satyr,61.3%,38.7%
Troll,"Weretiger, Hybrid Form",38.7%,61.3%
Troll,"Weretiger, Tiger Form",38.7%,61.3%
Brass Dragon Wyrmling,Orc,61.4%,38.6%
Draft Horse,Rust Monster,61.4%,38.6%
Drider,Medusa,38.6%,61.4%
Dust Mephit,Giant Sea Horse,61.4%,38.6%
Giant Bat,Giant Lizard,61.4%,38.6%
Giant Bat,Swarm of Ravens,38.6%,61.4%
Gold Dragon Wyrmling,Knight,61.4%,38.6%
Gold Dragon Wyrmling,Plesiosaurus,38.6%,61.4%
Gray Ooze,Riding Horse,38.6%,61.4%
Lizardfolk,Swarm of Ravens,38.6%,61.4%
Mastiff,Merfolk,38.6%,61.4%
Ogre Zombie,"Weretiger, Hybrid Form",38.6%,61.4%
Ogre Zombie,"Weretiger, Tiger Form",38.6%,61.4%
Roper,Young Blue Dragon,38.6%,61.4%
Spirit Naga,Troll,38.6%,61.4%
Assassin,Blue Dragon Wyrmling,61.5%,38.5%
Bronze Dragon Wyrmling,Giant Scorpion,61.5%,38.5%
Centaur,Giant Elk,38.5%,61.5%
Cockatrice,Dust Mephit,61.5%,38.5%
Constrictor Snake,Magma Mephit,61.5%,38.5%
Deep Gnome (Svirfneblin),Giant Vulture,61.5%,38.5%
Ettercap,Grick,61.5%,38.5%
Giant Scorpion,Polar Bear,38.5%,61.5%
Giant Wasp,Magma Mephit,61.5%,38.5%
Kobold,Pseudodragon,38.5%,61.5%
Otyugh,Xorn,38.5%,61.5%
Spirit Naga,"Weretiger, Human Form",61.5%,38.5%
Adult Brass Dragon,Behir,38.4%,61.6%
Air Elemental,Couatl,61.6%,38.4%
Blink Dog,Riding Horse,61.6%,38.4%
Blood Hawk,Tribal Warrior,38.4%,61.6%
Blue Dragon Wyrmling,Gibbering Mouther,61.6%,38.4%
Cloaker,Plesiosaurus,38.4%,61.6%
Flying Sword,Giant Lizard,61.6%,38.4%
Giant Boar,Will-o'-Wisp,61.6%,38.4%
Giant Constrictor Snake,Unicorn,38.4%,61.6%
Giant Crocodile,Hill Giant,61.6%,38.4%
Giant Crocodile,Triceratops,38.4%,61.6%
Giant Rat,Tribal Warrior,38.4%,61.6%
Giant Rat (Diseased),Tribal Warrior,38.4%,61.6%
Gnoll,Orc,38.4%,61.6%
Rhinoceros,Veteran,61.6%,38.4%
Adult Bronze Dragon,Planetar,38.3%,61.7%
Ankheg,Griffon,38.3%,61.7%
Clay Golem,Young Black Dragon,38.3%,61.7%
Copper Dragon Wyrmling,Warhorse Skeleton,38.3%,61.7%
Drow,Wolf,61.7%,38.3%
Elk,Skeleton,61.7%,38.3%
Gelatinous Cube,Silver Dragon Wyrmling,38.3%,61.7%
Giant Constrictor Snake,Pegasus,61.7%,38.3%
Giant Crocodile,Shambling Mound,61.7%,38.3%
Giant Lizard,Hobgoblin,61.7%,38.3%
Giant Shark,Glabrezu,38.3%,61.7%
Gray Ooze,Noble,61.7%,38.3%
Warhorse Skeleton,"Werewolf, Hybrid Form",38.3%,61.7%
Warhorse Skeleton,"Werewolf, Wolf Form",38.3%,61.7%
"Werewolf, Human Form",White Dragon Wyrmling,38.3%,61.7%
Acolyte,Lemure,38.2%,61.8%
Animated Armor,Bugbear,38.2%,61.8%
Drider,Rhinoceros,38.2%,61.8%
Dust Mephit,Sahuagin,61.8%,38.2%
Ghost,Half-Red Dragon Veteran,38.2%,61.8%
Giant Elk,Griffon,61.8%,38.2%
Iron Golem,Nalfeshnee,61.8%,38.2%
